Food Item,Energy (kcal),CHO (g),Protein (g),Fat (g),Sugars (g),Fiber (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cluster,Predicted_Score,Feedback
Wheat cake,314.63,41.13,4.79,14.95,25.79,2.76,82.96,98.91,1.08,0.76,7.6,3,69.52078528032659,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Mango cheesecake,152.46,20.06,2.39,7.3,15.36,1.14,107.12,55.1,0.53,24.93,68.68,1,72.57543159197786,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,3,69.60429202611448,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,18.86,5.37,91.36,128.28,1.36,0.94,9.42,3,70.02919406476087,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,24.76,2.35,98.26,118.38,1.35,0.76,11.41,3,69.50759181101272,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Honey cake,333.59,49.04,3.08,14.7,33.43,0.51,72.55,50.86,0.46,0.53,10.06,3,68.89743520022809,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86,3,69.66459857120212,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Tutti frutti cake,347.72,52.94,4.49,12.68,28.08,0.85,106.36,61.41,0.62,1.9,76.45,3,69.23088829023857,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Ham and Bean soup,96.04,4.18,10.61,4.15,1.43,0.54,378.14,20.52,0.88,22.31,103.7,0,74.648784965145,Include fiber-rich veggies or whole grains.
Whey soup,68.91,6.26,3.45,3.34,5.87,0.84,87.08,164.92,0.55,2.55,33.72,1,72.6726830101234,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.39,0.96,53.81,15.14,0.26,6.0,52.73,1,72.67417109678782,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Baked potato soup,147.05,5.85,5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67,0,74.28587953230341,Include fiber-rich veggies or whole grains.
Pumpkin soup,40.05,2.08,0.47,3.2,1.47,1.19,45.5,12.17,0.19,11.5,35.73,1,72.67972043410839,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Sweet corn soup,32.25,3.56,0.99,1.63,0.9,0.31,22.35,3.72,0.41,10.33,50.13,1,72.63816476170857,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Paneer soup,47.85,2.42,3.22,2.8,1.98,0.28,68.03,82.76,0.3,7.59,106.5,1,72.6250841209523,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Curried Cauliflower soup,37.32,3.12,6.72,9.77,1.79,2.34,7311.44,37.25,2.12,51.86,53.08,0,75.04753730928196,Reduce salt and processed foods.
Millet soup,55.99,8.22,11.26,12.57,1.45,2.82,10918.83,65.21,2.74,4.23,26.39,0,75.28105499464513,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Lemon coriander soup,108.06,10.32,2.27,6.26,2.2,6.77,219.17,102.57,3.47,8.6,12.47,1,74.13233356112538,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Garlic soup,194.86,6.99,2.38,17.62,2.39,1.66,179.26,60.55,0.73,11.12,21.85,1,72.81222233367491,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16,1,73.16466914477732,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Dalma,118.93,15.04,4.91,4.58,3.1,2.16,49.35,54.28,2.1,36.63,137.41,1,73.40243792317744,"Add more protein sources like dal, paneer or lentils."
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,0.98,3.72,46.4,21.99,1.92,13.38,103.45,1,73.53038889371808,"Add more protein sources like dal, paneer or lentils."
Horsegram dal (Kulthi dal),55.65,8.21,2.91,1.13,0.72,1.52,63.63,38.22,1.3,13.98,86.1,1,73.08565770330887,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Panchmel dal,111.22,10.71,4.63,5.36,0.75,3.2,79.46,23.05,1.42,8.49,79.58,1,73.38283171477012,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Dal dhokli,68.74,8.55,2.96,2.47,1.12,1.86,37.53,14.54,0.79,2.77,45.31,1,73.00751143653386,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Gujarati handvo,207.09,31.86,8.24,4.8,2.51,4.95,308.55,68.21,2.03,31.39,374.11,0,75.71476222310868,Well-balanced dish 👍.
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,0.53,2.35,53.19,13.95,0.72,0.0,59.29,0,74.38995869664879,"Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Papdi,708.96,12.89,1.83,72.11,0.31,0.56,28.91,6.06,0.44,0.04,5.01,0,73.9042777510836,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Jowar dosa,294.35,40.53,8.5,10.28,0.59,5.56,97.25,19.46,2.03,0.0,9.63,3,70.9497222424232,"Add citrus fruits, amla or bell peppers."
Bread roll,435.46,16.12,2.85,40.25,0.94,1.45,139.34,44.83,0.71,6.79,15.69,0,74.38090820549445,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Soya seekh kebab,115.05,10.0,5.4,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38,0,74.85927147689628,"Add citrus fruits, amla or bell peppers."
Classic seasoned black beans,28.78,7.66,8.01,8.28,0.44,3.51,7989.07,40.11,1.9,8.54,4.61,0,75.21329431146596,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Maa chaane ki dal,344.67,43.11,19.8,9.5,1.05,13.45,43.31,68.65,5.97,1.43,102.41,3,73.09743220742185,"Add citrus fruits, amla or bell peppers."
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.65,2.84,79.73,13.93,0.96,13.24,380.59,1,73.2657982582645,"Add more protein sources like dal, paneer or lentils."
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,23.91,110.2,0.19,0.0,,1,72.48869194139006,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,22.59,103.53,0.22,0.0,,1,72.50274602120234,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,20.45,92.74,0.27,0.0,,1,72.5232892785364,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cheese sauce,194.76,7.08,7.68,15.12,4.53,0.12,317.38,255.14,0.31,0.0,,0,74.23583706235615,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,51.54,89.49,0.65,0.0,,0,74.2838840333781,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,20.94,94.1,0.22,0.0,,1,72.56750833087254,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,22.16,109.03,0.44,0.0,,1,72.55722808868163,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Brown sauce,109.18,5.38,11.92,23.67,0.13,1.69,14174.59,40.44,2.46,0.0,,0,75.01098562212435,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,49.04,19.55,0.41,0.0,,1,72.70157663179224,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,115.79,58.57,1.23,0.0,,1,72.78118820305622,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Pasta cheese sauce,149.26,9.0,4.33,10.84,4.22,0.14,255.95,152.68,0.25,0.0,,0,74.18903960511068,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Mayonnaise,774.86,1.65,1.86,84.52,1.44,0.11,272.89,15.36,0.51,0.0,,0,73.60491966550333,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,165.94,6.47,0.25,0.0,,1,72.4079708515342,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Thousand island dressing,407.87,4.49,1.37,42.87,3.1,0.46,946.1,9.11,0.45,0.0,,0,73.9253798993399,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,301.07,167.17,0.25,0.0,,1,72.5341745281794,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,97.2,16.9,1.02,0.0,,3,69.99609041808156,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,132.28,19.43,0.83,0.0,,0,74.4932290911194,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Flaky pastry,443.94,33.61,4.69,31.99,0.81,1.25,178.52,9.28,0.83,0.0,,0,74.65415741224206,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Sponge cake,253.77,44.63,9.18,4.74,26.33,0.69,64.61,30.22,1.47,0.0,,3,69.48472764752772,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Glace icing,323.51,86.31,0.01,0.01,85.35,0.0,9.88,1.95,0.41,0.0,,3,67.71426903556318,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Royal icing,332.58,86.53,1.74,0.02,85.57,0.0,36.5,2.87,0.42,0.0,,3,67.75977315569818,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
American frosting,257.57,67.48,1.05,0.01,67.46,0.0,19.33,7.05,0.14,0.0,,3,68.0206135722612,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Gum icing,223.07,53.19,5.94,0.0,52.63,0.0,29.32,18.62,0.4,0.0,,3,68.47810470559877,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Channa murmura premix,339.09,72.59,10.59,3.28,1.52,8.21,206.28,21.36,4.58,0.0,,3,72.18067061246396,"Add citrus fruits, amla or bell peppers."
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,0.63,11.66,3.25,49.03,4.28,0.0,,3,72.72441027114535,"Add citrus fruits, amla or bell peppers."
Rice flakes and roasted channa,333.4,71.94,10.57,2.94,1.31,8.84,205.51,17.23,4.51,0.0,,3,72.26432092963107,"Add citrus fruits, amla or bell peppers."
Spinach soup in milk,56.72,3.98,2.89,3.2,3.34,0.79,31.16,106.1,1.08,0.0,,1,72.77305427326853,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,170.68,18.1,0.63,0.0,,1,73.10917524546188,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
